industry_id,naics_code,segment_name,unit,share,source_file,revenue,license_note,publisher,report_title,publication_date,page,source_section
62,62,Nursing homes and,$M,9.3,62 Healthcare and Social Assistance in the US Industry Report.pdf,397700.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Healthcare and Social,August 2025,6,Products and Services
62,62,Social assistance,$M,8.3,62 Healthcare and Social Assistance in the US Industry Report.pdf,354900.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Healthcare and Social,August 2025,6,Products and Services
62111a,621111,Internal medicine,$M,38.5,62111A Primary Care Doctors in the US Industry Report.pdf,142800.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Primary Care Doctors in,February 2026,6,Products and Services
62111a,621111,general practice,$M,36.6,62111A Primary Care Doctors in the US Industry Report.pdf,135700.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Primary Care Doctors in,February 2026,6,Products and Services
62111a,621111,Pediatric medicine,$M,23.0,62111A Primary Care Doctors in the US Industry Report.pdf,85300.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Primary Care Doctors in,February 2026,6,Products and Services
62111a,621111,Geriatric medicine,$M,1.9,62111A Primary Care Doctors in the US Industry Report.pdf,7000.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Primary Care Doctors in,February 2026,6,Products and Services
62111b,621112,Obstetrics and,$M,10.8,62111B Specialist Doctors in the US Industry Report.pdf,45500.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,6,Products and Services
62111b,621112,Anesthesiology,$M,10.7,62111B Specialist Doctors in the US Industry Report.pdf,45100.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,6,Products and Services
62111b,621112,Psychiatry,$M,10.0,62111B Specialist Doctors in the US Industry Report.pdf,42100.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,6,Products and Services
62111b,621112,Ophthalmology,$M,5.7,62111B Specialist Doctors in the US Industry Report.pdf,24000.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,6,Products and Services
62111b,621112,Cardiology,$M,4.9,62111B Specialist Doctors in the US Industry Report.pdf,20600.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,6,Products and Services
62111b,621112,All other,$M,57.9,62111B Specialist Doctors in the US Industry Report.pdf,243900.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Specialist Doctors in the,March 2026,6,Products and Services
62149,621498,ambulatory surgical,$M,23.6,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,51700.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,6,Products and Services
62149,621498,HMO medical centers,$M,23.2,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,50800.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,6,Products and Services
62149,621498,Kidney dialysis centers,$M,15.4,62149 Emergency  Other Outpatient Care Centers in the US Industry Report.pdf,33700.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Emergency & Other,January 2026,6,Products and Services
62211,622110,Inpatient care,$M,50.4,62211 Hospitals in the US Industry Report.pdf,753400.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,6,Products and Services
62211,622110,Outpatient care,$M,41.5,62211 Hospitals in the US Industry Report.pdf,620400.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,6,Products and Services
62211,622110,Other,$M,8.1,62211 Hospitals in the US Industry Report.pdf,121100.0,Licensed business report (IBISWorld); derived structured facts only.,IBISWorld,Hospitals in the US,December 2025,6,Products and Services
