payer,stage,mean_denial_rework_cost_actual,mean_denial_cases_actual,mean_denial_rework_cost_bench,mean_denial_cases_bench,drag_mean_denial_rework_cost,drag_mean_denial_cases
Commercial,L1,93290.68245306471,4240.6324,82811.19306005316,5520.8586,10479.48939301155,-1280.2261999999992
Commercial,L2,249715.64426907367,2937.8274,84991.0117639503,1307.4312,164724.6325051234,1630.3962000000001
Commercial,L3,611235.4707005362,940.4544,86162.78757482962,172.2978,525072.6831257065,768.1566
Medicaid,L1,88747.54143583188,4033.8038,81706.6142650605,5446.989,7040.927170771378,-1413.1851999999994
Medicaid,L2,202455.4745991612,2381.8606,72426.04094012915,1114.0602,130029.43365903206,1267.8004
Medicaid,L3,524968.1575167986,807.6774,89000.45940997242,178.0458,435967.69810682617,629.6316
Medicare,L1,126761.96026672609,5762.326,89211.982403818,5947.6438,37549.9778629081,-185.3177999999998
Medicare,L2,299598.7501230716,3525.0022,79406.37943671616,1222.0012,220192.37068635545,2303.001
Medicare,L3,807674.5628096238,1242.6216,123700.25641131913,247.4632,683974.3063983046,995.1583999999999
SelfPay,L1,0.0,0.0,0.0,0.0,0.0,0.0
SelfPay,L2,0.0,0.0,0.0,0.0,0.0,0.0
SelfPay,L3,0.0,0.0,0.0,0.0,0.0,0.0
