state,counties,population,pct_age_65_plus,median_household_income,child_poverty_rate,uninsured_rate,pct_white_nh,pct_black_nh,pct_hispanic,pct_rural
AK,30,733583,0.1385,88513.4809,0.1285,0.1325,0.588,0.0324,0.077,0.3535
AL,67,5074296,0.1803,61535.6379,0.2173,0.1169,0.6471,0.2643,0.0493,0.4219
AR,75,3045637,0.1781,57711.3743,0.2133,0.1105,0.7097,0.1533,0.0855,0.4435
AZ,15,7359197,0.1878,75661.1496,0.1615,0.1319,0.5293,0.0476,0.3246,0.1068
CA,58,39029342,0.1577,93823.9114,0.1489,0.0805,0.3473,0.0558,0.4031,0.0583
CO,64,5839926,0.1565,90763.4762,0.1118,0.0931,0.6647,0.0413,0.2252,0.1404
CT,8,3605597,0.1801,85127.3941,0.1287,0.06,0.6463,0.1062,0.1767,0.1376
DC,1,671803,0.1299,99897.0,0.2,0.0373,0.3753,0.4336,0.1175,0.0
DE,3,1018396,0.208,81872.2215,0.1446,0.0694,0.5999,0.2247,0.1034,0.1775
FL,67,22244823,0.2155,69898.3089,0.1727,0.1513,0.5234,0.1542,0.2709,0.0855
GA,159,10912876,0.1507,74700.5828,0.1745,0.1482,0.504,0.3209,0.1045,0.2608
HI,5,1440196,0.2044,91220.1682,0.1206,0.0441,0.2129,0.0195,0.1112,0.143
IA,99,3200517,0.1831,71874.2333,0.1236,0.0577,0.8373,0.042,0.0693,0.3666
ID,44,1939033,0.1704,73172.7118,0.1223,0.1049,0.8071,0.0079,0.1351,0.3083
IL,102,12582032,0.1719,79021.6763,0.159,0.0816,0.5948,0.141,0.1831,0.1316
IN,92,6833037,0.1691,69225.6514,0.1554,0.089,0.7704,0.0988,0.0793,0.2878
KS,105,2937150,0.1716,71131.5967,0.1353,0.1084,0.7434,0.0577,0.1304,0.2759
KY,120,4512310,0.1757,61162.3133,0.2069,0.0678,0.832,0.0839,0.0432,0.4131
LA,64,4590241,0.1699,57510.8125,0.2507,0.0915,0.5779,0.3219,0.058,0.2852
MA,14,6981974,0.1805,96204.4715,0.1176,0.0291,0.6955,0.0754,0.1309,0.0877
MD,24,6164660,0.1694,97577.873,0.1233,0.0698,0.4828,0.3039,0.1147,0.1459
ME,16,1385340,0.2254,70398.1819,0.1238,0.0738,0.9219,0.0187,0.0209,0.614
MI,83,10034113,0.1874,69106.4232,0.1749,0.0604,0.7398,0.1377,0.0572,0.2673
MN,87,5717184,0.1745,84309.7054,0.1102,0.0533,0.7763,0.074,0.0597,0.2836
MO,115,6177957,0.1804,67001.0671,0.1694,0.114,0.7843,0.1148,0.0483,0.3075
MS,82,2940057,0.1726,54618.0218,0.2641,0.1435,0.5603,0.3737,0.0357,0.5358
MT,56,1122867,0.2005,67638.4603,0.1344,0.1061,0.8529,0.0055,0.0452,0.4673
NC,100,10698973,0.174,69927.3389,0.1735,0.1252,0.6154,0.2119,0.1049,0.3317
ND,53,779261,0.1667,72895.4549,0.1206,0.0919,0.8303,0.0343,0.0463,0.3856
NE,93,1967923,0.1692,72420.2262,0.1353,0.0846,0.7694,0.05,0.1232,0.2687
NH,10,1395231,0.2018,90781.8616,0.0784,0.0634,0.8877,0.016,0.046,0.4173
NJ,21,9261699,0.174,97138.8504,0.1243,0.0822,0.5289,0.1301,0.219,0.063
NM,33,2113344,0.1909,60366.1812,0.2245,0.1259,0.3571,0.0197,0.5015,0.2542
NV,17,3177772,0.169,72604.3328,0.1644,0.1374,0.457,0.0973,0.3025,0.0587
NY,62,19677151,0.1811,83912.1153,0.1822,0.0609,0.5422,0.1442,0.1965,0.1284
OH,88,11756058,0.1839,68187.3037,0.1783,0.0784,0.773,0.1289,0.0447,0.2377
OK,77,4019800,0.1644,60602.9431,0.197,0.1689,0.6342,0.0748,0.1211,0.3537
OR,36,4240137,0.1924,77115.7022,0.1362,0.0739,0.7354,0.0204,0.1438,0.1967
PA,67,12972008,0.196,74378.2345,0.1521,0.0668,0.7449,0.1082,0.086,0.2358
RI,5,1093734,0.1887,81399.1758,0.1359,0.0488,0.6988,0.063,0.1755,0.0897
SC,46,5282634,0.1908,65478.6011,0.1931,0.1233,0.6346,0.2564,0.0659,0.3178
SD,66,909824,0.1801,70407.7527,0.1445,0.1152,0.807,0.0244,0.0489,0.4231
TN,95,7051339,0.1732,67617.6283,0.18,0.119,0.7291,0.1636,0.0637,0.339
TX,254,30029572,0.1341,73831.6347,0.1888,0.2029,0.3976,0.1246,0.4019,0.1646
UT,29,3380800,0.1199,90028.5602,0.0865,0.1016,0.7669,0.0122,0.1515,0.1037
VA,133,8683619,0.1687,94391.8369,0.1324,0.08,0.5984,0.1916,0.1049,0.2453
VT,14,647064,0.2155,73952.834,0.1107,0.0451,0.9194,0.014,0.023,0.6493
WA,39,7785786,0.1681,93066.291,0.1131,0.0762,0.6514,0.0416,0.1404,0.1675
WI,72,5892539,0.187,73044.6068,0.1282,0.0646,0.801,0.0627,0.0761,0.3309
WV,55,1775156,0.2119,55588.3709,0.2272,0.0767,0.9116,0.036,0.0207,0.5522
WY,23,581381,0.1859,73025.9174,0.1308,0.154,0.8307,0.0103,0.108,0.3819
