state,designated_pc_hpsas,median_hpsa_score,max_hpsa_score,population_in_shortage,discipline,source_id
CA,559,15.0,24,125066258.0,Primary Care,hrsa_hpsa_pc
TX,383,16.0,23,96883357.0,Primary Care,hrsa_hpsa_pc
MO,340,17.0,24,28428217.0,Primary Care,hrsa_hpsa_pc
AK,330,10.0,20,2270822.0,Primary Care,hrsa_hpsa_pc
IL,295,17.0,23,29988695.0,Primary Care,hrsa_hpsa_pc
MI,274,19.0,24,45344534.0,Primary Care,hrsa_hpsa_pc
KY,245,18.0,23,16005285.0,Primary Care,hrsa_hpsa_pc
FL,225,16.0,24,23323735.0,Primary Care,hrsa_hpsa_pc
AZ,224,16.0,21,53957034.0,Primary Care,hrsa_hpsa_pc
WA,217,15.0,21,69538701.0,Primary Care,hrsa_hpsa_pc
OH,207,18.0,23,93142045.0,Primary Care,hrsa_hpsa_pc
NC,207,16.0,24,34780821.0,Primary Care,hrsa_hpsa_pc
MN,199,14.0,19,25486778.0,Primary Care,hrsa_hpsa_pc
NY,190,16.0,22,251678606.0,Primary Care,hrsa_hpsa_pc
OK,189,18.0,21,10214322.0,Primary Care,hrsa_hpsa_pc
GA,188,19.0,24,7239755.0,Primary Care,hrsa_hpsa_pc
LA,178,15.0,23,12539757.0,Primary Care,hrsa_hpsa_pc
IA,162,14.0,21,10913013.0,Primary Care,hrsa_hpsa_pc
VA,159,14.0,21,6145939.0,Primary Care,hrsa_hpsa_pc
WI,156,13.0,21,56662520.0,Primary Care,hrsa_hpsa_pc
KS,156,14.0,22,2965262.0,Primary Care,hrsa_hpsa_pc
MS,153,20.0,25,5304542.0,Primary Care,hrsa_hpsa_pc
TN,150,16.0,23,28341705.0,Primary Care,hrsa_hpsa_pc
AR,149,16.0,24,4957929.0,Primary Care,hrsa_hpsa_pc
OR,142,15.0,21,6957810.0,Primary Care,hrsa_hpsa_pc
IN,139,15.0,23,12751734.0,Primary Care,hrsa_hpsa_pc
PA,130,13.0,21,12378122.0,Primary Care,hrsa_hpsa_pc
NE,125,13.0,20,1746045.0,Primary Care,hrsa_hpsa_pc
WV,123,18.0,23,2778908.0,Primary Care,hrsa_hpsa_pc
CO,120,15.0,22,9982164.0,Primary Care,hrsa_hpsa_pc
MT,120,16.0,22,911555.0,Primary Care,hrsa_hpsa_pc
AL,105,16.0,24,4845941.0,Primary Care,hrsa_hpsa_pc
ID,103,14.0,21,2464678.0,Primary Care,hrsa_hpsa_pc
NM,103,19.0,24,4408186.0,Primary Care,hrsa_hpsa_pc
SC,99,9.0,24,20389101.0,Primary Care,hrsa_hpsa_pc
SD,97,15.0,22,1063130.0,Primary Care,hrsa_hpsa_pc
ME,77,13.0,19,3426683.0,Primary Care,hrsa_hpsa_pc
ND,72,17.0,23,716153.0,Primary Care,hrsa_hpsa_pc
MA,64,14.0,21,6327830.0,Primary Care,hrsa_hpsa_pc
NV,63,17.0,22,19653286.0,Primary Care,hrsa_hpsa_pc
UT,61,12.0,20,37592423.0,Primary Care,hrsa_hpsa_pc
MD,50,17.0,24,20540842.0,Primary Care,hrsa_hpsa_pc
NJ,44,13.0,18,16902317.0,Primary Care,hrsa_hpsa_pc
WY,43,16.0,23,643170.0,Primary Care,hrsa_hpsa_pc
PR,42,13.0,23,6370664.0,Primary Care,hrsa_hpsa_pc
CT,41,14.0,21,3173427.0,Primary Care,hrsa_hpsa_pc
HI,33,14.0,21,3398801.0,Primary Care,hrsa_hpsa_pc
NH,23,11.0,20,1550531.0,Primary Care,hrsa_hpsa_pc
VT,16,8.5,14,236514.0,Primary Care,hrsa_hpsa_pc
RI,14,15.0,17,676790.0,Primary Care,hrsa_hpsa_pc
DC,12,18.0,22,12073756.0,Primary Care,hrsa_hpsa_pc
DE,12,16.0,21,7198186.0,Primary Care,hrsa_hpsa_pc
FM,8,24.0,25,197547.0,Primary Care,hrsa_hpsa_pc
VI,5,17.0,25,145970.0,Primary Care,hrsa_hpsa_pc
GU,4,17.5,22,228800.0,Primary Care,hrsa_hpsa_pc
PW,2,24.0,24,337145.0,Primary Care,hrsa_hpsa_pc
AS,2,22.0,22,319016.0,Primary Care,hrsa_hpsa_pc
MP,2,16.0,18,259061.0,Primary Care,hrsa_hpsa_pc
MH,2,25.0,25,1698398.0,Primary Care,hrsa_hpsa_pc
XX,2,12.0,12,2531.0,Primary Care,hrsa_hpsa_pc
