owner_organization,facilities_owned
FORVIS MAZARS LLP,280
"WELLTOWER OP, LLC",278
THE ENSIGN GROUP INC,259
"PACS GROUP, INC.",250
"PACS HOLDINGS, LLC",249
ENSIGN SERVICES INC,240
"LIFE CARE CENTERS OF AMERICA, INC.",194
HCCF MANAGEMENT GROUP XI LLC,187
GEN OPERATIONS II LLC,186
ZAC PROPERTIES XI LLC,186
GEN OPERATIONS I LLC,185
GENESIS HEALTHCARE LLC,184
GENESIS HEALTHCARE INC,183
"PROVIDENCE GROUP NH, LLC",178
SUNDANCE REHABILITATION HOLDCO INC,177
SUN HEALTHCARE GROUP INC,177
FC-GEN OPERATIONS INVESTMENT LLC,175
CIBC BANK USA,173
GENESIS HOLDINGS LLC,172
WELLTOWER INC,127
SABER HEALTHCARE HOLDINGS LLC,122
"BENJAMIN N. VOLPE FAMILY DYNASTY TRUST (DATED DECEMBER 29, 2020)",122
BNV DYNASTY LLC,122
WIW DYNASTY LLC,122
SABER GOVERNANCE LLC,121
"DECANTED WILLIAM I. WEISBERG FAMILY DYNASTY TRUST (DATED SEPT 30, 2020",121
GHC HOLDINGS LLC,121
SHG MANAGEMENT LLC,119
TRILOGY MANAGEMENT SERVICES LLC,119
GAHC4 TRILOGY JV LLC,119
TRILOGY REAL ESTATE INVESTMENT TRUST,118
TRILOGY REIT HOLDINGS LLC,118
GAHC3 TRILOGY JV LLC,118
AMERICAN HEALTHCARE REIT HOLDINGS LP,118
AMERICAN HEALTHCARE REIT INC,117
TRILOGY INVESTORS LLC,117
CLIFTONLARSONALLEN LLP,105
C.R. STOLTZ IRREVOCABLE TRUST,103
RONALD S WILHEIM 2012 SPOUSAL TRUST,102
I. ROSEDALE IRREVOCABLE TRUST,102
"RRW, LLC",102
"WILHEIM FAMILY INVESTMENT COMPANY, INC.",101
"ROSEDALE FAMILY INVESTMENT COMPANY, INC",101
S.L. ROSEDALE IRREVOCABLE TRUST,101
R.S. WILHEIM IRREVOCABLE TRUST,101
WEST WHARTON COUNTY HOSPITAL DISTRICT,97
TRILOGY HEALTHCARE HOLDINGS INC,96
CONTINENTAL MERGER SUB LLC,94
SANFORD,92
UNITED HEALTH SERVICES INC,91
